Time Quat_X Quat_Y Quat_Z Quat_W Pos_X Pos_Y Pos_Z
0.525000 0.163441 -0.322664 0.690498 -0.626408 -228.471313 1165.105347 34.891693
0.533333 0.163404 -0.323107 0.690435 -0.626259 -228.446365 1165.072632 34.889278
0.541667 0.163408 -0.322813 0.690486 -0.626353 -228.466461 1165.094360 34.888653
0.550000 0.163403 -0.323157 0.690430 -0.626239 -228.447311 1165.068848 34.886421
0.558333 0.163429 -0.323210 0.690391 -0.626248 -228.445923 1165.065796 34.886551
0.566667 0.163443 -0.322812 0.690477 -0.626355 -228.467819 1165.094604 34.889046
0.575000 0.163410 -0.323151 0.690444 -0.626225 -228.447464 1165.070801 34.886585
0.583333 0.163418 -0.323232 0.690409 -0.626219 -228.439713 1165.066528 34.886784
0.591667 0.163438 -0.323223 0.690377 -0.626254 -228.445313 1165.064331 34.887222
0.600000 0.163429 -0.322821 0.690473 -0.626359 -228.468521 1165.093872 34.888924
0.608333 0.163427 -0.322725 0.690506 -0.626371 -228.476166 1165.101807 34.890160
0.616667 0.163422 -0.323117 0.690423 -0.626262 -228.447845 1165.074829 34.886211
0.625000 0.163425 -0.323252 0.690409 -0.626207 -228.442169 1165.066040 34.885963
0.633333 0.163425 -0.322844 0.690478 -0.626343 -228.465591 1165.093384 34.889675
0.641667 0.163436 -0.322716 0.690493 -0.626389 -228.473038 1165.102295 34.888550
0.650000 0.163413 -0.323117 0.690445 -0.626241 -228.448822 1165.072998 34.885803
0.658333 0.163410 -0.323249 0.690420 -0.626201 -228.440613 1165.064575 34.885658
0.666667 0.163419 -0.322830 0.690480 -0.626348 -228.461624 1165.093872 34.887672
0.675000 0.163437 -0.322722 0.690497 -0.626381 -228.468323 1165.101563 34.887501
0.683333 0.163409 -0.322700 0.690497 -0.626399 -228.470642 1165.105957 34.889194
0.691667 0.163410 -0.323131 0.690437 -0.626244 -228.447174 1165.073853 34.887901
0.700000 0.163409 -0.323252 0.690423 -0.626196 -228.441559 1165.065308 34.886803
0.708333 0.163434 -0.322852 0.690488 -0.626325 -228.465378 1165.092041 34.888988
0.716667 0.163435 -0.323146 0.690440 -0.626225 -228.443512 1165.072266 34.887688
0.725000 0.163415 -0.323236 0.690427 -0.626198 -228.439941 1165.065186 34.886093
0.733333 0.163430 -0.323257 0.690392 -0.626223 -228.437119 1165.062012 34.884422
0.741667 0.163411 -0.323282 0.690408 -0.626197 -228.439148 1165.065674 34.884602
0.750000 0.163434 -0.322841 0.690477 -0.626343 -228.467545 1165.097412 34.887596
0.758333 0.163414 -0.323143 0.690429 -0.626245 -228.446747 1165.074219 34.886852
0.766667 0.163417 -0.323234 0.690421 -0.626205 -228.440964 1165.067383 34.887859
0.775000 0.163437 -0.323229 0.690385 -0.626243 -228.444550 1165.065308 34.885487
0.783333 0.163434 -0.322820 0.690468 -0.626362 -228.468124 1165.094116 34.887463
0.791667 0.163434 -0.322694 0.690508 -0.626384 -228.475464 1165.104858 34.888519
0.800000 0.163452 -0.322630 0.690490 -0.626432 -228.482407 1165.109497 34.889774
0.808333 0.163417 -0.323089 0.690437 -0.626263 -228.450027 1165.073120 34.887260
0.816667 0.163432 -0.322776 0.690500 -0.626351 -228.469223 1165.091064 34.890213
0.825000 0.163420 -0.322693 0.690513 -0.626383 -228.472473 1165.098755 34.889957
0.833333 0.163436 -0.322661 0.690506 -0.626403 -228.471603 1165.097778 34.889259
0.841667 0.163449 -0.322663 0.690509 -0.626395 -228.472260 1165.100952 34.888683
0.850000 0.163431 -0.322678 0.690519 -0.626380 -228.474045 1165.104126 34.889801
0.858333 0.163423 -0.322694 0.690517 -0.626377 -228.474152 1165.102051 34.888409
0.866667 0.163440 -0.322706 0.690497 -0.626388 -228.472260 1165.099854 34.889431
0.875000 0.163415 -0.323149 0.690432 -0.626238 -228.446579 1165.072388 34.887558
0.883333 0.163421 -0.323272 0.690405 -0.626203 -228.438232 1165.062988 34.887039
0.891667 0.163428 -0.323285 0.690395 -0.626205 -228.434784 1165.063354 34.887314
0.900000 0.163407 -0.323289 0.690415 -0.626187 -228.437119 1165.065674 34.888603
0.908333 0.163427 -0.323285 0.690402 -0.626198 -228.439011 1165.063599 34.887985
0.916667 0.163444 -0.323249 0.690407 -0.626206 -228.435043 1165.060059 34.887199
