Format Version,1.23,Take Name,robot-base,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-12-09 02.03.26.882 PM,Total Frames in Take,172,Total Exported Frames,172,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,robot-base,robot-base,robot-base,robot-base,robot-base,robot-base,robot-base
,ID,"9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC","9CE1C4A6B62B11EFF407FFEBDF282EAC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
69,0.575000,0.504503,0.494376,0.498448,-0.502612,-143.071655,912.751648,-619.801025
70,0.583333,0.504549,0.494474,0.498335,-0.502581,-143.087479,912.753357,-619.815918
71,0.591667,0.504484,0.494379,0.498446,-0.502629,-143.068802,912.755371,-619.800537
72,0.600000,0.504546,0.494493,0.498323,-0.502577,-143.088974,912.753479,-619.814087
73,0.608333,0.504545,0.494484,0.498328,-0.502583,-143.086334,912.752991,-619.814392
74,0.616667,0.504502,0.494375,0.498448,-0.502615,-143.066177,912.752991,-619.800964
75,0.625000,0.504543,0.494482,0.498324,-0.502590,-143.084534,912.756165,-619.815796
76,0.633333,0.504542,0.494481,0.498328,-0.502589,-143.084213,912.755249,-619.817139
77,0.641667,0.504550,0.494498,0.498315,-0.502576,-143.085983,912.751465,-619.816528
78,0.650000,0.504617,0.494690,0.498141,-0.502493,-143.098953,912.748596,-619.821899
79,0.658333,0.504553,0.494318,0.498445,-0.502622,-143.076004,912.742493,-619.817322
80,0.666667,0.504550,0.494477,0.498329,-0.502583,-143.093018,912.750244,-619.821472
81,0.675000,0.504621,0.494662,0.498156,-0.502501,-143.105576,912.751587,-619.824097
82,0.683333,0.504617,0.494664,0.498161,-0.502499,-143.102051,912.753052,-619.825195
83,0.691667,0.504633,0.494694,0.498137,-0.502477,-143.104431,912.740784,-619.824463
84,0.700000,0.504543,0.494484,0.498330,-0.502582,-143.089157,912.755981,-619.822021
85,0.708333,0.504549,0.494481,0.498325,-0.502585,-143.092438,912.755554,-619.821899
86,0.716667,0.504619,0.494680,0.498141,-0.502501,-143.101578,912.747803,-619.826721
87,0.725000,0.504548,0.494476,0.498323,-0.502593,-143.091278,912.756470,-619.821228
88,0.733333,0.504544,0.494482,0.498331,-0.502583,-143.087326,912.757751,-619.821167
89,0.741667,0.504546,0.494497,0.498317,-0.502580,-143.089386,912.751770,-619.821289
90,0.750000,0.504534,0.494499,0.498323,-0.502583,-143.088760,912.752625,-619.823364
91,0.758333,0.504524,0.494466,0.498346,-0.502603,-143.092377,912.761353,-619.822021
92,0.766667,0.504611,0.494688,0.498148,-0.502494,-143.101318,912.743164,-619.823486
93,0.775000,0.504539,0.494485,0.498333,-0.502583,-143.090744,912.752625,-619.820679
94,0.783333,0.504620,0.494683,0.498148,-0.502489,-143.103394,912.739929,-619.822632
95,0.791667,0.504531,0.494483,0.498336,-0.502589,-143.088501,912.755676,-619.821228
96,0.800000,0.504544,0.494473,0.498331,-0.502591,-143.089981,912.756714,-619.820007
97,0.808333,0.504627,0.494690,0.498130,-0.502494,-143.096588,912.744385,-619.821716
98,0.816667,0.504642,0.494677,0.498135,-0.502487,-143.101135,912.746155,-619.821045
99,0.825000,0.504554,0.494480,0.498319,-0.502586,-143.089020,912.754700,-619.817139
100,0.833333,0.504628,0.494697,0.498126,-0.502490,-143.099930,912.741333,-619.819763
101,0.841667,0.504557,0.494488,0.498326,-0.502568,-143.090698,912.755615,-619.818054
102,0.850000,0.504612,0.494664,0.498155,-0.502510,-143.102341,912.752747,-619.823914
103,0.858333,0.504548,0.494496,0.498326,-0.502570,-143.091095,912.747925,-619.819031
104,0.866667,0.504551,0.494477,0.498336,-0.502575,-143.090347,912.753540,-619.818481
105,0.875000,0.504533,0.494482,0.498344,-0.502582,-143.090012,912.756592,-619.817688
106,0.883333,0.504613,0.494663,0.498165,-0.502500,-143.104507,912.748230,-619.821655
107,0.891667,0.504539,0.494480,0.498341,-0.502580,-143.088837,912.755371,-619.816528
108,0.900000,0.504482,0.494366,0.498458,-0.502633,-143.072281,912.757874,-619.803284
109,0.908333,0.504631,0.494691,0.498137,-0.502481,-143.100204,912.738037,-619.822754
110,0.916667,0.504538,0.494477,0.498341,-0.502583,-143.085281,912.756287,-619.815918
111,0.925000,0.504499,0.494370,0.498453,-0.502617,-143.067047,912.756714,-619.798035
112,0.933333,0.504626,0.494686,0.498148,-0.502481,-143.098038,912.741821,-619.818298
113,0.941667,0.504546,0.494491,0.498327,-0.502576,-143.084656,912.749939,-619.816406
114,0.950000,0.504500,0.494371,0.498445,-0.502623,-143.069626,912.754822,-619.799988
115,0.958333,0.504538,0.494477,0.498326,-0.502598,-143.091965,912.757019,-619.820313
116,0.966667,0.504562,0.494498,0.498318,-0.502562,-143.090485,912.746338,-619.817871
117,0.975000,0.504620,0.494695,0.498133,-0.502494,-143.102936,912.741638,-619.821533
118,0.983333,0.504471,0.494352,0.498478,-0.502638,-143.075089,912.762024,-619.804565
119,0.991667,0.504529,0.494472,0.498334,-0.502604,-143.091232,912.757385,-619.819031
120,1.000000,0.504557,0.494491,0.498321,-0.502570,-143.088623,912.751404,-619.820313
121,1.008333,0.504492,0.494371,0.498446,-0.502630,-143.069992,912.761108,-619.803406
122,1.016667,0.504561,0.494484,0.498323,-0.502572,-143.086212,912.755798,-619.817017
123,1.025000,0.504549,0.494490,0.498329,-0.502572,-143.085403,912.754761,-619.818237
124,1.033333,0.504554,0.494487,0.498323,-0.502576,-143.087585,912.756409,-619.819702
125,1.041667,0.504541,0.494492,0.498328,-0.502579,-143.086441,912.757019,-619.821167
126,1.050000,0.504552,0.494488,0.498320,-0.502580,-143.090530,912.753296,-619.823669
127,1.058333,0.504551,0.494484,0.498329,-0.502576,-143.090042,912.755066,-619.820618
128,1.066667,0.504534,0.494499,0.498326,-0.502580,-143.086914,912.753845,-619.820618
129,1.075000,0.504541,0.494482,0.498330,-0.502587,-143.091217,912.756958,-619.820923
130,1.083333,0.504536,0.494489,0.498325,-0.502590,-143.089890,912.759338,-619.820923
131,1.091667,0.504551,0.494492,0.498316,-0.502581,-143.087524,912.753845,-619.819275
132,1.100000,0.504529,0.494479,0.498340,-0.502591,-143.088745,912.754028,-619.821533
133,1.108333,0.504538,0.494486,0.498333,-0.502583,-143.086136,912.754578,-619.819824
134,1.116667,0.504542,0.494489,0.498320,-0.502589,-143.085770,912.753906,-619.817932
135,1.125000,0.504543,0.494486,0.498326,-0.502584,-143.086151,912.756531,-619.815430
136,1.133333,0.504533,0.494474,0.498330,-0.502602,-143.087631,912.757996,-619.819458
137,1.141667,0.504540,0.494486,0.498317,-0.502596,-143.083969,912.756836,-619.819336
138,1.150000,0.504534,0.494485,0.498330,-0.502590,-143.085892,912.755005,-619.819031
139,1.158333,0.504615,0.494680,0.498151,-0.502494,-143.098709,912.747253,-619.823730
140,1.166667,0.504543,0.494493,0.498323,-0.502581,-143.088196,912.753662,-619.817993
141,1.175000,0.504528,0.494489,0.498333,-0.502590,-143.088669,912.753906,-619.819763
142,1.183333,0.504625,0.494684,0.498141,-0.502490,-143.099594,912.745850,-619.825012
143,1.191667,0.504540,0.494501,0.498319,-0.502579,-143.085602,912.754883,-619.819336
144,1.200000,0.504552,0.494499,0.498314,-0.502575,-143.084610,912.752563,-619.817688
145,1.208333,0.504558,0.494499,0.498313,-0.502570,-143.085281,912.753845,-619.818115
146,1.216667,0.504551,0.494490,0.498317,-0.502582,-143.089615,912.751831,-619.816711
147,1.225000,0.504544,0.494475,0.498338,-0.502582,-143.090851,912.758240,-619.819153
148,1.233333,0.504545,0.494473,0.498330,-0.502591,-143.093430,912.759521,-619.818909
