Format Version,1.23,Take Name,setup1_cold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 11.56.26.170 AM,Total Frames in Take,17289,Total Exported Frames,17289,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
58,0.483333,-0.329621,-0.448146,0.487272,-0.673113,65.382706,1238.905273,-448.142456
59,0.491667,-0.329602,-0.448132,0.487267,-0.673136,65.384026,1238.910645,-448.144592
60,0.500000,-0.329619,-0.448129,0.487266,-0.673130,65.381844,1238.911255,-448.147095
61,0.508333,-0.329607,-0.448140,0.487268,-0.673127,65.384247,1238.910889,-448.148041
62,0.516667,-0.329605,-0.448153,0.487256,-0.673128,65.384430,1238.910522,-448.148193
63,0.525000,-0.329841,-0.448459,0.487600,-0.672559,65.285156,1238.922363,-448.152374
64,0.533333,-0.329610,-0.448143,0.487275,-0.673118,65.381927,1238.910645,-448.148041
65,0.541667,-0.329606,-0.448167,0.487271,-0.673107,65.386444,1238.914551,-448.147095
66,0.550000,-0.329586,-0.448142,0.487281,-0.673127,65.385559,1238.916382,-448.149292
67,0.558333,-0.329590,-0.448142,0.487279,-0.673125,65.385002,1238.916016,-448.149506
68,0.566667,-0.329591,-0.448146,0.487277,-0.673124,65.386452,1238.916138,-448.149078
69,0.575000,-0.329836,-0.448452,0.487597,-0.672568,65.290489,1238.927856,-448.156372
70,0.583333,-0.329585,-0.448150,0.487284,-0.673119,65.388451,1238.913696,-448.150208
71,0.591667,-0.329584,-0.448152,0.487275,-0.673125,65.387810,1238.913818,-448.149292
72,0.600000,-0.329578,-0.448152,0.487290,-0.673117,65.388496,1238.916016,-448.147522
73,0.608333,-0.329601,-0.448134,0.487279,-0.673126,65.387421,1238.916626,-448.149078
74,0.616667,-0.329582,-0.448147,0.487266,-0.673136,65.388832,1238.913330,-448.152435
75,0.625000,-0.329599,-0.448162,0.487272,-0.673113,65.389214,1238.909668,-448.151031
76,0.633333,-0.329576,-0.448143,0.487270,-0.673139,65.387810,1238.909302,-448.149902
77,0.641667,-0.329594,-0.448132,0.487278,-0.673132,65.385811,1238.910645,-448.151276
