Format Version,1.23,Take Name,setup1_darkcold_train,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 12.00.53.813 PM,Total Frames in Take,16568,Total Exported Frames,16568,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
59,0.491667,-0.329603,-0.448160,0.487288,-0.673101,65.384476,1238.918091,-448.144531
60,0.500000,-0.329594,-0.448150,0.487278,-0.673120,65.386047,1238.920044,-448.145538
61,0.508333,-0.329580,-0.448146,0.487287,-0.673122,65.385269,1238.917603,-448.145050
62,0.516667,-0.329606,-0.448139,0.487288,-0.673113,65.385071,1238.919922,-448.144592
63,0.525000,-0.329591,-0.448154,0.487278,-0.673118,65.386177,1238.915771,-448.143768
64,0.533333,-0.329596,-0.448145,0.487278,-0.673122,65.386299,1238.917358,-448.145386
65,0.541667,-0.329597,-0.448150,0.487288,-0.673111,65.387642,1238.920166,-448.146301
66,0.550000,-0.329586,-0.448151,0.487296,-0.673109,65.385681,1238.917480,-448.143280
67,0.558333,-0.329595,-0.448146,0.487280,-0.673120,65.388268,1238.918091,-448.145752
68,0.566667,-0.329586,-0.448119,0.487296,-0.673130,65.387253,1238.919922,-448.145691
69,0.575000,-0.329590,-0.448163,0.487282,-0.673109,65.389496,1238.918457,-448.146179
70,0.583333,-0.329589,-0.448147,0.487296,-0.673111,65.388023,1238.916260,-448.145813
71,0.591667,-0.329601,-0.448133,0.487286,-0.673121,65.388435,1238.918457,-448.146332
72,0.600000,-0.329537,-0.448122,0.487308,-0.673144,65.389915,1238.927490,-448.146179
73,0.608333,-0.329596,-0.448143,0.487284,-0.673118,65.386856,1238.921265,-448.146393
74,0.616667,-0.329594,-0.448142,0.487286,-0.673120,65.387520,1238.921265,-448.144684
75,0.625000,-0.329601,-0.448163,0.487281,-0.673105,65.387985,1238.919067,-448.145264
76,0.633333,-0.329864,-0.448496,0.487619,-0.672510,65.292381,1238.929932,-448.150970
77,0.641667,-0.329591,-0.448175,0.487284,-0.673100,65.387474,1238.920776,-448.144684
78,0.650000,-0.329593,-0.448158,0.487292,-0.673104,65.386765,1238.922607,-448.144623
79,0.658333,-0.329599,-0.448151,0.487278,-0.673116,65.387344,1238.917114,-448.144257
80,0.666667,-0.329601,-0.448154,0.487273,-0.673117,65.386086,1238.915283,-448.146545
81,0.675000,-0.329602,-0.448162,0.487285,-0.673103,65.385674,1238.918335,-448.144775
82,0.683333,-0.329603,-0.448171,0.487283,-0.673098,65.386337,1238.918213,-448.145721
83,0.691667,-0.329601,-0.448162,0.487283,-0.673104,65.389183,1238.917603,-448.145111
84,0.700000,-0.329623,-0.448143,0.487278,-0.673110,65.382637,1238.920288,-448.147644
85,0.708333,-0.329601,-0.448168,0.487268,-0.673111,65.383812,1238.915527,-448.145233
86,0.716667,-0.329605,-0.448149,0.487281,-0.673112,65.382668,1238.916382,-448.145721
87,0.725000,-0.329600,-0.448155,0.487286,-0.673108,65.382874,1238.918945,-448.142883
88,0.733333,-0.329583,-0.448139,0.487283,-0.673128,65.383850,1238.919189,-448.144135
89,0.741667,-0.329604,-0.448142,0.487279,-0.673120,65.382851,1238.917725,-448.143829
90,0.750000,-0.329594,-0.448138,0.487275,-0.673130,65.383095,1238.916992,-448.145630
91,0.758333,-0.329599,-0.448156,0.487283,-0.673109,65.386734,1238.918579,-448.142090
92,0.766667,-0.329595,-0.448158,0.487273,-0.673117,65.385345,1238.912842,-448.142181
93,0.775000,-0.329606,-0.448138,0.487287,-0.673115,65.385429,1238.917480,-448.140930
