Format Version,1.23,Take Name,prueba_short,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-01-29 10.55.08.948 AM,Total Frames in Take,15990,Total Exported Frames,15990,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,camera,camera,camera,camera,camera,camera,camera
,ID,"AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC","AEBE393BDD8411EFF707FFEBDF2833AC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),qX,qY,qZ,qW,X,Y,Z
59,0.491667,-0.329813,-0.448415,0.487617,-0.672590,65.279160,1238.924194,-448.169891
60,0.500000,-0.329792,-0.448374,0.487635,-0.672615,65.281937,1238.919800,-448.166351
61,0.508333,-0.329812,-0.448403,0.487614,-0.672600,65.278854,1238.923828,-448.165253
62,0.516667,-0.329818,-0.448370,0.487631,-0.672608,65.279427,1238.923828,-448.166107
63,0.525000,-0.329811,-0.448382,0.487614,-0.672615,65.276909,1238.924561,-448.166931
64,0.533333,-0.329811,-0.448367,0.487633,-0.672611,65.277847,1238.919189,-448.163635
65,0.541667,-0.329806,-0.448367,0.487625,-0.672620,65.274635,1238.916870,-448.164703
66,0.550000,,,,,,,
67,0.558333,-0.329831,-0.448387,0.487622,-0.672596,65.276634,1238.917603,-448.160645
68,0.566667,-0.329816,-0.448382,0.487623,-0.672606,65.277328,1238.915039,-448.159363
69,0.575000,-0.329835,-0.448389,0.487631,-0.672586,65.281219,1238.917358,-448.155182
70,0.583333,-0.329844,-0.448387,0.487629,-0.672585,65.278633,1238.916138,-448.154846
71,0.591667,-0.329827,-0.448376,0.487624,-0.672604,65.277245,1238.912231,-448.155945
72,0.600000,-0.329833,-0.448357,0.487636,-0.672605,65.278862,1238.914917,-448.153290
73,0.608333,-0.329836,-0.448364,0.487625,-0.672607,65.277573,1238.911987,-448.153748
74,0.616667,-0.329836,-0.448378,0.487619,-0.672602,65.280525,1238.914917,-448.151276
75,0.625000,-0.329855,-0.448380,0.487619,-0.672591,65.281250,1238.916870,-448.154755
76,0.633333,-0.329833,-0.448367,0.487618,-0.672612,65.280617,1238.914063,-448.154144
77,0.641667,-0.329845,-0.448372,0.487628,-0.672595,65.277664,1238.915039,-448.151337
78,0.650000,-0.329839,-0.448365,0.487614,-0.672612,65.281631,1238.911865,-448.152740
79,0.658333,-0.329842,-0.448368,0.487614,-0.672609,65.280342,1238.911377,-448.155212
80,0.666667,-0.329825,-0.448364,0.487619,-0.672617,65.276039,1238.911743,-448.157593
81,0.675000,-0.329827,-0.448340,0.487625,-0.672628,65.272629,1238.915161,-448.156372
82,0.683333,-0.329822,-0.448355,0.487629,-0.672617,65.276062,1238.915649,-448.155579
83,0.691667,-0.329824,-0.448374,0.487622,-0.672609,65.280006,1238.914795,-448.156433
84,0.700000,-0.329831,-0.448360,0.487624,-0.672613,65.275627,1238.914063,-448.161133
85,0.708333,-0.329832,-0.448369,0.487620,-0.672609,65.279839,1238.914307,-448.159973
86,0.716667,-0.329795,-0.448362,0.487647,-0.672612,65.279778,1238.918457,-448.155518
87,0.725000,-0.329815,-0.448352,0.487640,-0.672614,65.281540,1238.922241,-448.160309
88,0.733333,-0.329817,-0.448351,0.487629,-0.672621,65.280624,1238.919189,-448.161957
89,0.741667,-0.329836,-0.448391,0.487614,-0.672596,65.276482,1238.922119,-448.165009
90,0.750000,-0.329821,-0.448388,0.487615,-0.672606,65.282326,1238.922119,-448.163757
91,0.758333,-0.329816,-0.448364,0.487620,-0.672620,65.278358,1238.921265,-448.167023
92,0.766667,-0.329808,-0.448374,0.487639,-0.672603,65.282867,1238.920288,-448.166595
93,0.775000,-0.329815,-0.448398,0.487616,-0.672601,65.279930,1238.924805,-448.167755
94,0.783333,-0.329821,-0.448409,0.487613,-0.672592,65.275131,1238.924683,-448.168732
95,0.791667,-0.329789,-0.448403,0.487625,-0.672604,65.279221,1238.921631,-448.169891
96,0.800000,-0.329807,-0.448378,0.487634,-0.672605,65.281448,1238.921997,-448.168732
97,0.808333,-0.329825,-0.448383,0.487631,-0.672595,65.282982,1238.923218,-448.170654
98,0.816667,-0.329807,-0.448422,0.487624,-0.672583,65.277603,1238.927612,-448.171661
99,0.825000,-0.329803,-0.448414,0.487628,-0.672587,65.279671,1238.925781,-448.169769
100,0.833333,-0.329824,-0.448421,0.487622,-0.672576,65.277565,1238.927002,-448.170135
101,0.841667,-0.329797,-0.448412,0.487631,-0.672590,65.278397,1238.924805,-448.169891
102,0.850000,-0.329811,-0.448419,0.487619,-0.672587,65.279976,1238.925781,-448.169434
103,0.858333,-0.329796,-0.448410,0.487631,-0.672591,65.282310,1238.924805,-448.167877
104,0.866667,-0.329785,-0.448365,0.487655,-0.672609,65.280823,1238.921875,-448.162598
105,0.875000,-0.329832,-0.448403,0.487614,-0.672591,65.280205,1238.923706,-448.164490
106,0.883333,-0.329805,-0.448390,0.487628,-0.672602,65.280571,1238.923218,-448.165070
107,0.891667,-0.329807,-0.448348,0.487631,-0.672627,65.281616,1238.920776,-448.165405
108,0.900000,-0.329812,-0.448364,0.487646,-0.672604,65.279167,1238.918945,-448.157990
109,0.908333,-0.329825,-0.448372,0.487621,-0.672609,65.283051,1238.918457,-448.163635
110,0.916667,-0.329826,-0.448347,0.487630,-0.672619,65.280106,1238.917847,-448.163483
111,0.925000,-0.329820,-0.448364,0.487637,-0.672606,65.281128,1238.920410,-448.156952
112,0.933333,-0.329826,-0.448363,0.487620,-0.672616,65.280449,1238.916748,-448.158203
113,0.941667,-0.329835,-0.448363,0.487612,-0.672617,65.277893,1238.913818,-448.158722
114,0.950000,-0.329829,-0.448358,0.487637,-0.672605,65.280907,1238.916870,-448.155548
115,0.958333,-0.329834,-0.448358,0.487634,-0.672605,65.277748,1238.915161,-448.155823
116,0.966667,-0.329810,-0.448368,0.487658,-0.672593,65.276131,1238.912720,-448.151764
117,0.975000,-0.329846,-0.448371,0.487620,-0.672601,65.277382,1238.914429,-448.156128
118,0.983333,-0.329841,-0.448387,0.487614,-0.672597,65.276901,1238.911377,-448.155640
119,0.991667,-0.329846,-0.448384,0.487617,-0.672594,65.275467,1238.912720,-448.153687
120,1.000000,-0.329828,-0.448379,0.487624,-0.672601,65.276421,1238.915527,-448.152527
121,1.008333,-0.329815,-0.448377,0.487646,-0.672593,65.272491,1238.913086,-448.150665
122,1.016667,-0.329842,-0.448363,0.487634,-0.672598,65.273308,1238.914551,-448.153259
123,1.025000,-0.329851,-0.448382,0.487627,-0.672586,65.279724,1238.915649,-448.153259
124,1.033333,-0.329826,-0.448371,0.487626,-0.672606,65.278320,1238.910400,-448.152863
125,1.041667,-0.329844,-0.448390,0.487614,-0.672593,65.279518,1238.912964,-448.154053
126,1.050000,-0.329817,-0.448390,0.487638,-0.672589,65.278641,1238.913818,-448.151398
127,1.058333,-0.329845,-0.448393,0.487631,-0.672578,65.279373,1238.918335,-448.155121
128,1.066667,-0.329844,-0.448366,0.487623,-0.672603,65.276474,1238.917114,-448.158722
129,1.075000,-0.329830,-0.448390,0.487622,-0.672595,65.283821,1238.916260,-448.156708
130,1.083333,-0.329827,-0.448392,0.487619,-0.672597,65.282753,1238.917358,-448.159210
131,1.091667,-0.329824,-0.448390,0.487625,-0.672596,65.282127,1238.918823,-448.158905
132,1.100000,-0.329809,-0.448378,0.487634,-0.672604,65.282082,1238.919556,-448.161804
